uniqueid,TrumpApproveFlag,LikelyConsiderFlag,LeanConsiderFlag,LeanNotConsiderFlag,LikelyNotConsiderFlag,TurnoutTargetsFlag,onlineact,offlineact,cc,PotentialActivist,Turnout_Score
AEC48BE7-658C-4E45-9,1,0,0,0,0,1,1,1,NA,0,0.9250577872153372
2EB33C94-A1C2-4D67-9,1,0,0,0,0,1,1,NA,NA,0,0.7933870361885056
460CC4B2-F06E-44EB-A,0,0,0,0,0,1,0,NA,NA,0,0.48212223511654884
1EE1BFEE-B7BF-4DC1-B,1,0,0,0,0,1,0,NA,NA,0,0.9201580514200032
ADEB2EA1-8C50-49D8-8,1,0,0,0,0,1,0,NA,NA,0,0.5176327602239326
47041422-1566-4597-A,1,0,0,0,0,1,0,NA,NA,0,1.0015458158450201
F1158506-57CC-4C05-9,1,0,0,0,0,1,0,NA,NA,0,0.06661898898892105
0179556E-3071-430D-8,1,0,0,0,0,1,1,1,1,0,0.09332419349811971
E35FA4CD-6646-4071-B,1,0,0,0,0,1,0,NA,NA,0,0.8736774129793048
80A2381B-757B-4DD9-B,1,0,0,0,0,1,0,1,NA,0,1.0944484581705183
468802E7-2ABD-4D04-8,1,0,0,0,0,1,1,NA,NA,0,0.843419928336516
99E0E912-94B8-4F7F-8,1,0,0,0,0,1,0,NA,NA,0,0.24741574376821518
E0AC59C8-613F-479C-A,0,0,0,0,0,1,1,NA,NA,0,0.19296664651483297
DD754CEE-413C-449D-A,1,0,0,0,0,1,1,1,1,0,0.6641563733574003
986CC430-1A22-4090-9,0,0,0,0,0,1,0,NA,NA,0,0.9535582424141467
44732F76-0D80-4FDB-9,1,0,0,0,0,1,0,NA,NA,0,0.6097134514711797
50F221D7-9721-4C74-8,1,0,0,0,0,1,0,NA,NA,0,0.1692391058895737
E022F326-054B-428D-9,1,0,0,0,0,1,0,NA,NA,0,0.016586676239967346
B4A20019-8118-46E6-A,1,0,0,0,0,1,0,NA,NA,0,0.5843484263168648
C1591137-AC3E-4988-B,1,0,0,0,0,1,1,NA,NA,0,0.0772056789137423
4B989266-3F61-4C8A-9,1,0,0,0,0,1,0,NA,NA,0,0.8417579652741551
ED6D2E5D-FE23-4AF9-A,1,0,0,0,0,1,1,NA,NA,0,0.5932108549168333
5286AF41-C935-42BE-9,1,0,0,0,0,1,0,NA,NA,0,0.6561863467795774
68282602-4572-49A3-9,1,0,0,0,0,1,1,NA,NA,0,0.6419622455723584
A0E0BA23-77CA-4183-B,1,0,0,0,0,1,1,NA,1,0,0.5962574451696128
A4953265-CF77-493F-9,1,0,0,0,0,1,1,NA,NA,0,0.07090516434982419
C7BF696F-B4E0-46B8-8,1,0,0,0,0,1,1,1,1,0,1.1170869818888605
DFD76DA6-2767-4936-B,1,0,0,0,0,1,0,NA,NA,0,0.6642366300802678
A6CE2F1D-6F88-4E9F-A,1,0,0,0,0,1,0,NA,NA,0,0.8304341472685337
60A40FCA-A657-4CCD-B,0,0,0,0,0,1,1,NA,NA,0,0.44757376075722277
AA491822-E987-440D-B,1,0,0,0,0,1,0,NA,NA,0,0.6902483431622386
C90132A0-A737-4900-9,1,0,0,0,0,1,1,NA,NA,0,0.7537938561290503
4EC3C7DB-F249-454F-A,1,0,0,0,0,1,0,NA,NA,0,0.9071168017107993
0EDE1A50-AE98-47BC-A,1,0,0,0,0,1,0,NA,NA,0,0.8472947836853564
F98133B4-6CB1-4947-9,1,0,0,0,0,1,0,NA,NA,0,0.7042343176435679
1D9DEEE7-AF01-459A-A,1,0,0,0,0,1,0,NA,NA,0,0.16871276241727173
A00AA4BC-0282-4BD9-9,1,0,0,0,0,1,1,NA,NA,0,0.8222183457110077
290296CA-A21B-406E-8,1,0,0,0,0,1,1,NA,NA,0,0.0028196685016155243
C52AE7A5-2A3F-481C-8,1,0,0,0,0,1,0,NA,NA,0,0.1206085653975606
17AEC015-C96A-4C2D-9,1,0,0,0,0,1,0,NA,NA,0,0.5286807176889852
E99499D6-5E42-415A-A,1,0,0,0,0,1,0,NA,NA,0,0.1370634266640991
A62EB862-B940-4AE7-8,1,0,0,0,0,1,0,NA,NA,0,0.857934049796313
53EAD20B-EDE6-4A1C-B,1,0,0,0,0,1,0,NA,NA,0,0.8772006273502484
02FC2997-FE4A-4007-B,1,0,0,0,0,1,1,1,NA,0,0.21545613440684974
8CE52DEF-4A83-4406-9,1,0,0,0,0,1,1,NA,NA,0,0.7279763129772618
2C025E3A-16FA-473E-8,1,0,0,0,0,1,1,NA,NA,0,0.6995218063239008
86B9879E-5193-43F4-B,1,0,0,0,0,1,1,NA,NA,0,0.7576366311404854
5EC1FAEB-960C-43D7-8,1,0,0,0,0,1,0,NA,NA,0,0.5695658458862454
7533F2DD-F13E-412C-B,1,0,0,0,0,1,0,NA,NA,0,0.8343820828013122
6B20B6FE-6B2C-4A0A-B,1,0,0,0,0,1,0,NA,NA,0,0.17821544222533703
FD8672D1-6262-4D5B-8,1,0,0,0,0,1,0,1,NA,0,0.4234639301430434
F6BF7627-63B6-42BE-B,0,0,0,0,0,1,0,1,NA,0,0.3793742072302848
D1A15D66-9D6D-4594-9,1,0,0,0,0,1,1,NA,NA,0,0.950666448334232
CE4C267E-8B94-43E4-8,1,0,0,0,0,1,0,NA,1,0,0.9334157081320882
D43282F5-A8CA-4D2B-B,1,0,0,0,0,1,0,1,NA,0,0.13235926744528115
5F74B101-4FCC-430A-B,1,0,0,0,0,1,0,NA,NA,0,0.9504415771225467
3A8E06B5-8372-469A-B,1,0,0,0,0,1,1,1,NA,0,0.7332526448881254
A0AFC76C-0C26-4AD5-8,1,0,0,0,0,1,0,NA,NA,0,0.760353228659369
F3A75E85-CC1B-4A73-B,1,0,0,0,0,1,1,NA,NA,0,0.8018166478723288
C6C9B987-57D4-4B2B-B,1,0,0,0,0,1,0,NA,NA,0,0.9330275449901819
D85BD016-2BE4-45EC-9,1,0,0,0,0,1,1,1,1,0,0.4545569041511044
C2C6E0C2-A003-48F9-B,1,0,0,0,0,1,1,NA,1,0,0.5022360276198015
A8B24C25-DC70-47F3-8,1,0,0,0,0,1,0,NA,NA,0,0.5444783039856702
E16B6C5B-B2DD-46F1-8,1,0,0,0,0,1,0,NA,NA,0,0.9866456746822223
D6B60AEC-AE5F-4BD7-9,1,0,0,0,0,1,1,NA,NA,0,0.9638089577201754
77B97EEE-4ED4-4D49-8,1,0,0,0,0,1,1,1,NA,0,0.4322435993235558
C0CC6318-D24B-4FA8-A,1,0,0,0,0,1,0,NA,NA,0,0.05803968361578882
DEA29762-1A7B-41D5-8,1,0,0,0,0,1,0,NA,NA,0,0.846952939289622
64A02CC6-D83D-4676-9,1,0,0,0,0,1,1,NA,NA,0,0.9018239815486595
43055403-A8C1-42D1-A,1,0,0,0,0,1,0,NA,NA,0,0.9531389393378049
5061E84A-B2CB-4083-B,1,0,0,0,0,1,0,NA,NA,0,0.18170394585467875
9475721A-39D8-4227-9,1,0,0,0,0,1,0,NA,1,0,0.6706980998860672
17B3E6F8-BB5B-444A-B,1,0,0,0,0,1,0,1,NA,0,0.7597380878869444
232FAE00-359B-42A1-A,1,0,0,0,0,1,1,NA,NA,0,0.9667102071689442
7267D9AD-803B-49CC-8,1,0,0,0,0,1,0,NA,NA,0,0.8158211917616427
8740323A-1084-4626-B,1,0,0,0,0,1,1,1,NA,0,0.23981206049211323
DACC023C-A875-4DA5-9,1,0,0,0,0,1,0,NA,NA,0,0.6199989641318098
0020137C-B7C9-416A-B,1,0,0,0,0,1,0,NA,NA,0,0.9704259387217462
5D562A27-E5BC-49CE-A,1,0,0,0,0,1,0,NA,NA,0,0.9560648611513898
